,Restaurant,Rating,reviewsCount,street,phone,categoryName,url,Latitude,Longitude,Restroom,Wifi Availabilty,Cost of 2 person,Payment Method
212,Sonu Restaurant,3.8,501,"Seminary Hills,, Vayusena Nagar, opposite Botanical Garden",,Breakfast restaurant,"https://www.google.com/maps/place/Sonu+Restaurant/@21.1593426,79.0431123,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c049f3bc8631:0x9346dfdbf1491b02!8m2!3d21.1593426!4d79.0431123!16s%2Fg%2F11c3170m9w?hl=en",21.1593426,79.0431123,Yes,Yes,896,CASH
213,Suraahi Family Restuarant & Bar,3.9,499,"237, Nandanvan Main Rd Main Road, near SSB Bank Limited",,Bar & grill,"https://www.google.com/maps/place/Suraahi+Family+Restuarant+%26+Bar/@21.1349689,79.1196403,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c74fe0db5321:0x6f7b70befdd34a98!8m2!3d21.1349689!4d79.1196403!16s%2Fg%2F11gbl3zgv7?hl=en",21.1349689,79.1196403,Yes,Yes,556,CASH AND UPI
214,CYBERCITY INTERNET CAFE AND GAMING ZONE,5,498,"ROHIT NET CAFE, BESIDE DR KK CLINIC, 1ST FLOOR PLOT, NO. 6, MANGALWARI BAZZAR ROAD",+91 98506 96429,Internet cafe,"https://www.google.com/maps/place/CYBERCITY+INTERNET+CAFE+AND+GAMING+ZONE/@21.1850443,79.0961017,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c13a496fd0f5:0xef5302c553a6523b!8m2!3d21.1850443!4d79.0961017!16s%2Fg%2F11bxfxhz9f?hl=en",21.1850443,79.0961017,Yes,Yes,636,ALL
215,MH-31 Family Garden Restaurant,3.7,491,"Koradi Rd, near Koradi Naka",+91 84119 92266,Family restaurant,"https://www.google.com/maps/place/MH-31+Family+Garden+Restaurant/@21.2071571,79.0769828,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c114d5a090af:0x2353e8ba2fd96b16!8m2!3d21.2071571!4d79.0769828!16s%2Fg%2F11hzcy7jdg?hl=en",21.2071571,79.0769828,No,Yes,590,CASH
216,Ravi's Food,3.7,489,"33, Koradi Rd",+91 77220 92891,Restaurant,"https://www.google.com/maps/place/Ravi's+Food/@21.2059392,79.0776225,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c16510a34a05:0xaabbb6584639ce34!8m2!3d21.2059392!4d79.0776225!16s%2Fg%2F11dxdzcd6s?hl=en",21.2059392,79.0776225,No,Yes,843,CASH
217,TDM - The Daawat Mahal,4,487,"The Daawat Mahal, 1294/6, Perfect Housing Society Mangalmurti Square Ring Road, beside Anusaya Mangal karyalaya",+91 77448 57367,Restaurant,"https://www.google.com/maps/place/TDM+-+The+Daawat+Mahal/@21.1180535,79.0343895,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c1e7fad05fb5:0x1c45718bfc8599f0!8m2!3d21.1180535!4d79.0343895!16s%2Fg%2F11fll2sc2l?hl=en",21.1180535,79.0343895,Yes,Yes,778,ALL
218,Tandoori Chaska,4,485,"Opposite Lokanshishala School, Reshimbag Ground Square, Great Nag Rd, beside Amma's hospital",+91 788 788 6369,Restaurant,"https://www.google.com/maps/place/Tandoori+Chaska/@21.1372935,79.1080907,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c74fbdd55a0b:0x5c63a47207c57182!8m2!3d21.1372935!4d79.1080907!16s%2Fg%2F11f53h56nv?hl=en",21.1372935,79.1080907,Yes,Yes,873,ALL
219,FRULLATO - Sadar,4.3,483,"Sadar Main Road, next to Belgium Waffle",,Juice shop,"https://www.google.com/maps/place/FRULLATO+-+Sadar/@21.164832,79.079791,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c10d8edcf09f:0x23b22c94a2b0b6bb!8m2!3d21.164832!4d79.079791!16s%2Fg%2F11m_yj9d6g?hl=en",21.164832,79.079791,Yes,Yes,725,ALL
220,Green Diamond Dhaba and Family Restaurant,3.9,483,"NH-69, Highway, Bokara, Chindwada Rd",+91 97642 72756,Dhaba,"https://www.google.com/maps/place/Green+Diamond+Dhaba+and+Family+Restaurant/@21.2148,79.0789,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c1627edd315d:0x1fa54007d849f3f2!8m2!3d21.2148!4d79.0789!16s%2Fg%2F11cn93gpwc?hl=en",21.2148,79.0789,Yes,Yes,847,CASH
221,Gamdoor Restaurant,3.7,480,"1, Kamptee Rd, Opposite Lal Godam",+91 712 264 1727,Grill,"https://www.google.com/maps/place/Gamdoor+Restaurant/@21.1763786,79.1054126,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c8a980177129:0x12cb18b4dd0c3a82!8m2!3d21.1763786!4d79.1054126!16s%2Fg%2F1tg4v962?hl=en",21.1763786,79.1054126,No,Yes,742,CASH
222,Amrut Bar,3.7,478,"3K, Panchpaoli Rd",+91 98235 26514,Wine bar,"https://www.google.com/maps/place/Amrut+Bar/@21.1545496,79.1042209,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0cc446595a9:0x639c260d841a3a7c!8m2!3d21.1545496!4d79.1042209!16s%2Fg%2F1hjh0zgvg?hl=en",21.1545496,79.1042209,No,Yes,812,CASH AND UPI
223,Comesum,2.8,478,,+91 11 4110 0100,South Indian restaurant,"https://www.google.com/maps/place/Comesum/@21.1518994,79.0883185,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0c217e251ad:0x7e14fda1f58a3cb2!8m2!3d21.1518994!4d79.0883185!16s%2Fg%2F11dfm80ckn?hl=en",21.1518994,79.0883185,No,No,569,CASH AND UPI
224,Prabhat Restaurant,4.4,477,"173, LIT Rd",,Restaurant,"https://www.google.com/maps/place/Prabhat+Restaurant/@21.144032,79.055796,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c05d769dbc8b:0xf0ab35ec2936b32d!8m2!3d21.144032!4d79.055796!16s%2Fg%2F11b6nzycc3?hl=en",21.144032,79.055796,Yes,Yes,581,ALL
225,All That's Coffee - Dharampeth,4.3,469,"Shop G-1, Yashoda Apartment Mata Mandir Road, opp. Traffic Park",+91 72649 55661,Coffee shop,"https://www.google.com/maps/place/All+That's+Coffee+-+Dharampeth/@21.1404711,79.065874,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c103af3d3d7f:0x61abb3d41204e30f!8m2!3d21.1404711!4d79.065874!16s%2Fg%2F11qmr0vsxn?hl=en",21.1404711,79.065874,Yes,Yes,621,ALL
226,Ravi's Food,3.7,463,Near Checkers,+91 88888 22292,Chinese restaurant,"https://www.google.com/maps/place/Ravi's+Food/@21.1579061,79.0767399,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0e5309fbacd:0xb5f5a88ad563cb0d!8m2!3d21.1579061!4d79.0767399!16s%2Fg%2F1q65dsrvd?hl=en",21.1579061,79.0767399,No,Yes,638,CASH AND UPI
227,Aatithya Family Restaurant,4.1,462,"Plot no, besides ganesh mandir, 69, Ring Rd",+91 98237 07616,Restaurant,"https://www.google.com/maps/place/Aatithya+Family+Restaurant/@21.1137352,79.0590274,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf83ffd55fbf:0xcec8168b20341573!8m2!3d21.1137352!4d79.0590274!16s%2Fg%2F11fx8bkjsw?hl=en",21.1137352,79.0590274,Yes,Yes,607,ALL
228,Reddy's - All About Idli,4.2,458,"To, CP Club Road, opp. Chiman Shah Dargah, Ladie Club",+91 91757 56151,South Indian restaurant,"https://www.google.com/maps/place/Reddy's+-+All+About+Idli/@21.1545633,79.0609718,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c059d1c6a1a5:0x974226de9c7b60d0!8m2!3d21.1545633!4d79.0609718!16s%2Fg%2F11ddwv4dd6?hl=en",21.1545633,79.0609718,Yes,Yes,840,ALL
229,Parimal Restaurant and Bar,3.6,457,"43/c Saket nagar, Suyog Nagar square",+91 97666 53539,Restaurant,"https://www.google.com/maps/place/Parimal+Restaurant+and+Bar/@21.106216,79.0840598,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf6902e543b5:0xef19067cd6bec49b!8m2!3d21.106216!4d79.0840598!16s%2Fg%2F1tzgmp86?hl=en",21.106216,79.0840598,No,Yes,948,CASH
230,Best Biryani,4.3,454,"Mansha chowk, Jafar Nagar Rd",+91 84597 85020,Biryani restaurant,"https://www.google.com/maps/place/Best+Biryani/@21.1825856,79.0677453,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c197f2c7c467:0x67e108d631119d5c!8m2!3d21.1825856!4d79.0677453!16s%2Fg%2F11j8mdhhy1?hl=en",21.1825856,79.0677453,Yes,Yes,892,ALL
231,Grand Kashmir Family Restaurant,3.9,454,"Kamptee Rd, opposite PWS College",+91 98231 72580,Restaurant,"https://www.google.com/maps/place/Grand+Kashmir+Family+Restaurant/@21.1780566,79.1079296,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c12cef7b2ce1:0xeba1847b275ccda1!8m2!3d21.1780566!4d79.1079296!16s%2Fg%2F1tdvhmp_?hl=en",21.1780566,79.1079296,No,Yes,856,CASH AND UPI
232,Two Brother's Shawarma,4,450,43C3+F34,+91 98197 98753,Shawarma restaurant,"https://www.google.com/maps/place/Two+Brother's+Shawarma/@21.1211416,79.0527116,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf73fe3f5bb3:0x181fee3080fe8c7!8m2!3d21.1211416!4d79.0527116!16s%2Fg%2F11fr52k1t2?hl=en",21.1211416,79.0527116,Yes,Yes,899,ALL
233,Collective Blends Cafe,4.3,446,"23B, opposite hare krishna enclave",+91 76667 09639,Cafe,"https://www.google.com/maps/place/Collective+Blends+Cafe/@21.1366209,79.059219,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c17ea74c71df:0xcd26e82e6c94a530!8m2!3d21.1366209!4d79.059219!16s%2Fg%2F11mvsg5mqb?hl=en",21.1366209,79.059219,Yes,Yes,574,ALL
234,Three Bags Full Bistro,4.1,446,"GuruShankar Apartments, Plot No.20, Besides Indian Overseas Bank",+91 93732 61448,Cafe,"https://www.google.com/maps/place/Three+Bags+Full+Bistro/@21.147055,79.0580185,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c05c3b408717:0xae5252da808ab64c!8m2!3d21.147055!4d79.0580185!16s%2Fg%2F11bwf7zqdn?hl=en",21.147055,79.0580185,Yes,Yes,505,ALL
235,Mayur Bar & Restaurant,3.6,444,"Opp Haldirams, Medical College Rd, Medical Square, Chandan Nagar",,Bar,"https://www.google.com/maps/place/Mayur+Bar+%26+Restaurant/@21.1317977,79.0984605,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0af87d589f9:0xf591ee0e9e79a38f!8m2!3d21.1317977!4d79.0984605!16s%2Fg%2F1q6752dnz?hl=en",21.1317977,79.0984605,No,Yes,854,CASH AND UPI
236,Winq Cafe,4.1,443,"Chitnavis Centre, 56, Temple Rd",,Cafe,"https://www.google.com/maps/place/Winq+Cafe/@21.1483251,79.0703482,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c14850b58421:0xf12e0749332fa7e7!8m2!3d21.1483251!4d79.0703482!16s%2Fg%2F11q2s6ff3q?hl=en",21.1483251,79.0703482,Yes,Yes,558,ALL
237,The King's Shawarmaa,3.7,442,"Plot no. 280, Shop, 1, Central Bazar Road",+91 712 669 0004,Middle Eastern restaurant,"https://www.google.com/maps/place/The+King's+Shawarmaa/@21.1331969,79.0719156,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c07ced9142ef:0x4911afcca6c72cd2!8m2!3d21.1331969!4d79.0719156!16s%2Fg%2F11c4bggtml?hl=en",21.1331969,79.0719156,Yes,Yes,652,CASH
238,The Ambazari Restaurant,3.9,438,"G-1 & 2, Plot No 46, Sakar Meridian, Ambazari - Hingna Rd",+91 99224 00320,Biryani restaurant,"https://www.google.com/maps/place/The+Ambazari+Restaurant/@21.1229757,79.0429775,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c074b8cfdd41:0xee8ac1e8928ab64a!8m2!3d21.1229757!4d79.0429775!16s%2Fg%2F11g8ybw5l9?hl=en",21.1229757,79.0429775,Yes,Yes,985,CASH AND UPI
239,Mr.Hops Brew Cafe,4,436,"Enrico Heights, Max Fashion Mall Building, Beside Hotel Radisson Blu Somalwada",+91 86002 90007,Cafe,"https://www.google.com/maps/place/Mr.Hops+Brew+Cafe/@21.1052698,79.0696965,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf3d41b856b3:0x9280645d09c01961!8m2!3d21.1052698!4d79.0696965!16s%2Fg%2F11fl55jx4t?hl=en",21.1052698,79.0696965,Yes,Yes,807,ALL
240,Maratha Family Garden Restaurant,3.9,424,"Behind University Campus, Ambazari Bypass Rd, beside Gurunanak Bhavan",+91 93711 22500,Restaurant,"https://www.google.com/maps/place/Maratha+Family+Garden+Restaurant/@21.1468821,79.0424042,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c18479380783:0xd8195f99111411b8!8m2!3d21.1468821!4d79.0424042!16s%2Fg%2F11gy4w9lf_?hl=en",21.1468821,79.0424042,No,Yes,692,CASH
241,SHAWARMA KING,4,421,"Sai Shradhha apartment, BS-3, 214",+91 89891 33100,Shawarma restaurant,"https://www.google.com/maps/place/SHAWARMA+KING/@21.1308323,79.1195939,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c7ce09e7dc15:0xa09c6c2c66cadc51!8m2!3d21.1308323!4d79.1195939!16s%2Fg%2F11qn9ylhpc?hl=en",21.1308323,79.1195939,Yes,Yes,994,ALL
242,Atithi Restaurant & Atithi Tandoor Restaurant,4,419,"2&3, 1, Manewada Rd",+91 98606 03713,Family restaurant,"https://www.google.com/maps/place/Atithi+Restaurant+%26+Atithi+Tandoor+Restaurant/@21.10326,79.101258,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf4920036067:0x8c24a2f75e1cf91c!8m2!3d21.10326!4d79.101258!16s%2Fg%2F11c5s830vq?hl=en",21.10326,79.101258,Yes,Yes,799,ALL
243,Haldiram Planet Food,4.3,418,,+91 70300 00146,Family restaurant,"https://www.google.com/maps/place/Haldiram+Planet+Food/@21.1187296,79.0724652,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf7da5aebd59:0xd3be90993a54f359!8m2!3d21.1187296!4d79.0724652!16s%2Fg%2F11f0w_867d?hl=en",21.1187296,79.0724652,Yes,Yes,773,ALL
244,Chandani Bar & Restaurant,4,413,"Ayachit Rd, Ganesh Nagar Main Rd, Near, Sangam Talkies Rd",+91 82370 22790,Bar,"https://www.google.com/maps/place/Chandani+Bar+%26+Restaurant/@21.1326079,79.1153674,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c751877b0515:0xa68f4dc74d8a50ed!8m2!3d21.1326079!4d79.1153674!16s%2Fg%2F11b5vyk2tp?hl=en",21.1326079,79.1153674,Yes,Yes,970,ALL
245,Miki Momo,4.3,412,"JP Chambers, Shop 13, near mate square, opposite KFC and besides licksters",+91 81006 16263,Momo restaurant,"https://www.google.com/maps/place/Miki+Momo/@21.1229813,79.0571152,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c13aa49ddf69:0x4500f8c911281934!8m2!3d21.1229813!4d79.0571152!16s%2Fg%2F11r9wg9qg4?hl=en",21.1229813,79.0571152,Yes,Yes,697,ALL
246,Indiya Oye Radisson Blu,4.5,411,"7, Wardha Rd",+91 86000 18000,Indian restaurant,"https://www.google.com/maps/place/Indiya+Oye+Radisson+Blu/@21.1055549,79.0689949,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf7726738185:0xb5bf2f32cb36fe70!8m2!3d21.1055549!4d79.0689949!16s%2Fg%2F11c58nbvff?hl=en",21.1055549,79.0689949,Yes,Yes,613,ALL
247,Plated,4.4,409,"27 Adhyapak Layout Jaitala, Ring Rd",+91 98237 20533,Restaurant,"https://www.google.com/maps/place/Plated/@21.1189049,79.0329112,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c1b1132a7183:0xfec50154d8d5b6e0!8m2!3d21.1189049!4d79.0329112!16s%2Fg%2F11g_rlkbj2?hl=en",21.1189049,79.0329112,Yes,Yes,820,ALL
248,Ideal Restaurant,4,400,Opposite Poonam Mall,+91 82756 36401,Vegetarian restaurant,"https://www.google.com/maps/place/Ideal+Restaurant/@21.146822,79.136002,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c76b3dad01a7:0xebc25d867d7c3d50!8m2!3d21.146822!4d79.136002!16s%2Fg%2F124sqcs4m?hl=en",21.146822,79.136002,Yes,Yes,789,ALL
249,Babbu Biryani,3.9,398,"535G+3CW, Ravindra Nath Tagore Marg",+91 712 253 0009,Biryani restaurant,"https://www.google.com/maps/place/Babbu+Biryani/@21.1577474,79.0760722,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0e5347345df:0xd695f525a467aec7!8m2!3d21.1577474!4d79.0760722!16s%2Fg%2F1hjh5z309?hl=en",21.1577474,79.0760722,No,Yes,663,CASH AND UPI
250,Mad fries (green),4.1,394,"Shop no. 2 garg sadan, opp. Nirmal urban co op bank",+91 98601 54054,Cafe,"https://www.google.com/maps/place/Mad+fries+(green)/@21.1313561,79.1195916,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c7582a7ed77b:0x3a874cb4e73b67db!8m2!3d21.1313561!4d79.1195916!16s%2Fg%2F11grvkc73b?hl=en",21.1313561,79.1195916,Yes,Yes,865,ALL
251,The Bali's Cafe,3.9,393,,+91 74474 42039,Cafe,"https://www.google.com/maps/place/The+Bali's+Cafe/@21.1467147,79.1356171,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c76b22f4c42f:0x4809fafc69a99716!8m2!3d21.1467147!4d79.1356171!16s%2Fg%2F11f53qrshn?hl=en",21.1467147,79.1356171,No,Yes,706,CASH
252,Bawarchi Restaurant,3.9,390,"Vathoda Ring Road, Beside Swami Narayan Mandir, below Shape up Gold gym",+91 72184 63309,Restaurant,"https://www.google.com/maps/place/Bawarchi+Restaurant/@21.1403438,79.1457378,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c7b9c8daa993:0x7e8cf031b56aa63c!8m2!3d21.1403438!4d79.1457378!16s%2Fg%2F11qgsw4754?hl=en",21.1403438,79.1457378,Yes,Yes,532,CASH AND UPI
253,Café Coffee Day,4.2,385,"Ashok, Ground Floor Hotel, W High Ct Rd",+91 1800 102 5093,Cafe,"https://www.google.com/maps/place/Caf%C3%A9+Coffee+Day/@21.123303,79.0643351,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c1c6655c7a23:0x3f631b95147b0e97!8m2!3d21.123303!4d79.0643351!16s%2Fg%2F11mv8cp5yc?hl=en",21.123303,79.0643351,Yes,Yes,721,ALL
254,UFO Fries & Corn,4.3,377,"Plot No. 43, Central Bazar Road, near Anna Restaurant",+91 76204 31828,Vegetarian restaurant,"https://www.google.com/maps/place/UFO+Fries+%26+Corn/@21.1288667,79.058652,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c1ca381f5c99:0x8bdeffb648646a8!8m2!3d21.1288667!4d79.058652!16s%2Fg%2F11rcddnxys?hl=en",21.1288667,79.058652,Yes,Yes,546,ALL
255,Dali - The Art Cafe',4.3,372,"Enrico Heights, Wardha Rd",+91 70660 22446,Restaurant,"https://www.google.com/maps/place/Dali+-+The+Art+Cafe'/@21.1049975,79.0692248,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf93bd7f2339:0x23ed9c58ffae397d!8m2!3d21.1049975!4d79.0692248!16s%2Fg%2F11sq8rtl5w?hl=en",21.1049975,79.0692248,Yes,Yes,746,ALL
256,Flame And Fire of God,4.9,371,"20, Mount Rd",+91 96890 89012,Restaurant,"https://www.google.com/maps/place/Flame+And+Fire+of+God/@21.1575407,79.077373,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c1db91506f37:0xa57c059639322dea!8m2!3d21.1575407!4d79.077373!16s%2Fg%2F11lgnwp10j?hl=en",21.1575407,79.077373,Yes,Yes,944,ALL
257,Bombaywala Sweets - V4 Veggie Restaurant,3.9,369,"Near Vasudev Nagar Metro Station, Hingna Rd",+91 94049 72350,Restaurant,"https://www.google.com/maps/place/Bombaywala+Sweets+-+V4+Veggie+Restaurant/@21.1189094,79.0204466,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0003eb86273:0x3a038607b87ea5f4!8m2!3d21.1189094!4d79.0204466!16s%2Fg%2F1hc6k_l08?hl=en",21.1189094,79.0204466,Yes,Yes,848,CASH AND UPI
258,Jagdish Restaurant and Mess,3.7,369,4,,Restaurant,"https://www.google.com/maps/place/Jagdish+Restaurant+and+Mess/@21.1313167,79.0534762,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c148949ae415:0x42c4a35a41f295e6!8m2!3d21.1313167!4d79.0534762!16s%2Fg%2F11fj79hvfq?hl=en",21.1313167,79.0534762,Yes,Yes,737,CASH
259,Haveli Family Garden Restaurant,4.2,359,44,+91 95032 43462,Indian restaurant,"https://www.google.com/maps/place/Haveli+Family+Garden+Restaurant/@21.1812818,79.0389671,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c1c6e1a54341:0x6d58f70314811e54!8m2!3d21.1812818!4d79.0389671!16s%2Fg%2F11f39nk8kk?hl=en",21.1812818,79.0389671,Yes,Yes,635,ALL
260,Cream Corner,3.4,358,"Taori's Residence, 31, Central Bazar Road",+91 712 652 5990,Fast food restaurant,"https://www.google.com/maps/place/Cream+Corner/@21.134298,79.074861,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c08fc40b8509:0x1f6a1a10b508aa8b!8m2!3d21.134298!4d79.074861!16s%2Fg%2F1tggm2yr?hl=en",21.134298,79.074861,Yes,Yes,765,CASH AND UPI
261,Chafekar Dugdha Mandir,3.8,357,"43VJ+FM5, Abhyankar Marg",+91 712 225 1751,South Indian restaurant,"https://www.google.com/maps/place/Chafekar+Dugdha+Mandir/@21.1436422,79.081743,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c09529dae231:0xdc8dbb27f5ac1ec5!8m2!3d21.1436422!4d79.081743!16s%2Fg%2F11bbrc7m_m?hl=en",21.1436422,79.081743,Yes,Yes,568,CASH
262,Jitendra Pure Veg Restaurant,4.3,350,"601, Masrani Bhavan, Dhantoli, opp. Yashwant Stadium",+91 94222 37747,North Indian restaurant,"https://www.google.com/maps/place/Jitendra+Pure+Veg+Restaurant/@21.1387264,79.0833247,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0969c3138fb:0x5cb176a31495498f!8m2!3d21.1387264!4d79.0833247!16s%2Fg%2F11cs47symr?hl=en",21.1387264,79.0833247,Yes,Yes,517,ALL
263,Istaqbaal Restaurant,4.2,349,,+91 96738 38398,Restaurant,"https://www.google.com/maps/place/Istaqbaal+Restaurant/@21.163834,79.0798748,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c1b5ad4f30ff:0x7c1f56e2e4d43518!8m2!3d21.163834!4d79.0798748!16s%2Fg%2F11h42n3g2p?hl=en",21.163834,79.0798748,Yes,Yes,690,ALL
264,Cafe Donal,4.1,349,"Plot Bol.5/24, Ingle Layout, Opp.Pariwar City Centre,Trimurty Nagar, Nagpur",,Cafe,"https://www.google.com/maps/place/Cafe+Donal/@21.113656,79.045134,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf8b9b429653:0x2a623590c0d3530e!8m2!3d21.113656!4d79.045134!16s%2Fg%2F11c20nq22s?hl=en",21.113656,79.045134,Yes,Yes,763,ALL
265,The Creative Kitchen Radisson Blu,4.4,338,"7, Wardha Rd",+91 86004 00400,Asian restaurant,"https://www.google.com/maps/place/The+Creative+Kitchen+Radisson+Blu/@21.1055316,79.0689483,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf7eef283d45:0xad2cbc988da5805!8m2!3d21.1055316!4d79.0689483!16s%2Fg%2F11byxfkwy2?hl=en",21.1055316,79.0689483,Yes,Yes,950,ALL
266,Temptation café,4.4,335,"491, Nehru Nagar Corner Gurudev square",+91 86684 41865,Cafe,"https://www.google.com/maps/place/Temptation+caf%C3%A9/@21.1305018,79.1192577,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c7b3d868427b:0x34c36b2469db4a6!8m2!3d21.1305018!4d79.1192577!16s%2Fg%2F11mtjbqsym?hl=en",21.1305018,79.1192577,Yes,Yes,908,ALL
267,Varhadi village,4.1,334,"53 Shastri layout , c/o Shreedhar Sabhagruh, Hingna Rd, beside Apna Bhandar",+91 95611 09029,Buffet restaurant,"https://www.google.com/maps/place/Varhadi+village/@21.1232758,79.0419764,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c00b4b355403:0xb1733c9a2773e8ea!8m2!3d21.1232758!4d79.0419764!16s%2Fg%2F11c1v1n39c?hl=en",21.1232758,79.0419764,Yes,Yes,568,ALL
268,Dada South Indian Food / Anna Dosawala,4.2,333,33WC+R82,,South Indian restaurant,"https://www.google.com/maps/place/Dada+South+Indian+Food+%2F+Anna+Dosawala/@21.0970175,79.0707621,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf73523f743d:0x80912aca92f4f234!8m2!3d21.0970175!4d79.0707621!16s%2Fg%2F11hbh8dtyv?hl=en",21.0970175,79.0707621,Yes,Yes,853,ALL
269,Christ Coffee Day,5,328,Old VCA,+91 96890 89012,Restaurant,"https://www.google.com/maps/place/Christ+Coffee+Day/@21.1575038,79.0776261,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c18e1d81554d:0x9b8bad0ed91335ae!8m2!3d21.1575038!4d79.0776261!16s%2Fg%2F11g0kh6rx6?hl=en",21.1575038,79.0776261,Yes,Yes,713,ALL
270,New Amar Prem Restaurant,3.6,326,"Bus Stand, Wardha Road Jhansi Rani Chowk, opposite Mor Bhavan",+91 82755 55572,Fast food restaurant,"https://www.google.com/maps/place/New+Amar+Prem+Restaurant/@21.1416756,79.080615,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c09377b24b87:0xed4978c746e0ef4b!8m2!3d21.1416756!4d79.080615!16s%2Fg%2F1q62hq507?hl=en",21.1416756,79.080615,Yes,Yes,812,CASH
271,Dawat Garden Family Restaurant,3.9,324,"Wardha Rd, opposite Nexa Showroom",+91 86683 26638,Family restaurant,"https://www.google.com/maps/place/Dawat+Garden+Family+Restaurant/@21.0950918,79.0658478,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf0abe3769bf:0x4de691ec1407d2c9!8m2!3d21.0950918!4d79.0658478!16s%2Fg%2F11b5pjb0by?hl=en",21.0950918,79.0658478,No,Yes,764,CASH
272,Taj Restaurant,3.7,321,26,+91 86000 00992,Fast food restaurant,"https://www.google.com/maps/place/Taj+Restaurant/@21.1742385,79.1063999,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c12b9893ecdd:0x29d4974f4a791639!8m2!3d21.1742385!4d79.1063999!16s%2Fg%2F11fy4pkgmr?hl=en",21.1742385,79.1063999,No,Yes,839,CASH
273,Diplomat Restaurant,3.9,319,"Vijay Talkies Rd, Ghat Rd",+91 94223 33304,Restaurant,"https://www.google.com/maps/place/Diplomat+Restaurant/@21.1441597,79.0893591,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0bf9a505aa9:0xe4911a34f4ea1dfa!8m2!3d21.1441597!4d79.0893591!16s%2Fg%2F11bbtg20jq?hl=en",21.1441597,79.0893591,Yes,Yes,864,CASH AND UPI
